Date,Player,Line,Under,Over
2024-05-11,Al Horford,9.5,-118.0,-102.0
2024-05-11,Caris LeVert,10.5,-115.0,-105.0
2024-05-11,Darius Garland,15.5,-118.0,-102.0
2024-05-11,Derrick White,16.5,-102.0,-118.0
2024-05-11,Donovan Mitchell,29.5,-112.0,-108.0
2024-05-11,Evan Mobley,15.5,-120.0,100.0
2024-05-11,Isaac Okoro,7.5,-105.0,-115.0
2024-05-11,Jaylen Brown,23.5,-105.0,-115.0
2024-05-11,Jayson Tatum,27.5,102.0,-122.0
2024-05-11,Jrue Holiday,11.5,-110.0,-110.0
2024-05-11,Max Strus,10.5,-120.0,100.0
2024-05-11,Payton Pritchard,8.5,-122.0,102.0
2024-05-12,Aaron Nesmith,10.5,-110.0,-110.0
2024-05-12,Alec Burks,8.5,-135.0,114.0
2024-05-12,Andrew Nembhard,9.5,-118.0,-102.0
2024-05-12,Donte DiVincenzo,23.5,-120.0,100.0
2024-05-12,Isaiah Hartenstein,10.5,-122.0,102.0
2024-05-12,Jalen Brunson,32.5,102.0,-122.0
2024-05-12,Josh Hart,15.5,-125.0,105.0
2024-05-12,Miles McBride,8.5,114.0,-135.0
2024-05-12,Myles Turner,17.5,-110.0,-110.0
2024-05-12,Obi Toppin,8.5,-120.0,100.0
2024-05-12,Pascal Siakam,22.5,-110.0,-110.0
2024-05-12,Precious Achiuwa,6.5,-120.0,100.0
2024-05-12,T.J. McConnell,10.5,-130.0,110.0
2024-05-12,Tyrese Haliburton,21.5,-118.0,-102.0
2024-05-12,Aaron Gordon,11.5,-115.0,-105.0
2024-05-12,Anthony Edwards,27.5,124.0,-148.0
2024-05-12,Jaden McDaniels,8.5,120.0,-142.0
2024-05-12,Jamal Murray,21.5,105.0,-125.0
2024-05-12,Karl-Anthony Towns,19.5,-112.0,-108.0
2024-05-12,Kentavious Caldwell-Pope,7.5,102.0,-122.0
2024-05-12,Michael Porter Jr.,16.5,100.0,-120.0
2024-05-12,Mike Conley,10.5,-102.0,-118.0
2024-05-12,Naz Reid,10.5,-125.0,105.0
2024-05-12,Nikola Jokic,27.5,110.0,-130.0
2024-05-12,Rudy Gobert,11.5,-122.0,102.0
2024-05-13,Al Horford,8.5,-110.0,-120.0
2024-05-13,Darius Garland,15.5,-125.0,-105.0
2024-05-13,Derrick White,15.5,-110.0,-120.0
2024-05-13,Donovan Mitchell,29.5,-110.0,-120.0
2024-05-13,Evan Mobley,15.5,-110.0,-120.0
2024-05-13,Jaylen Brown,24.5,-110.0,-120.0
2024-05-13,Jayson Tatum,27.5,-120.0,-110.0
2024-05-13,Jrue Holiday,11.5,-125.0,-105.0
2024-05-13,Luke Kornet,2.5,105.0,-135.0
2024-05-13,Max Strus,9.5,-110.0,-120.0
2024-05-13,Payton Pritchard,7.5,105.0,-135.0
2024-05-13,Sam Hauser,3.5,-115.0,-115.0
2024-05-13,Aaron Wiggins,6.5,-130.0,110.0
2024-05-13,Chet Holmgren,14.5,-120.0,100.0
2024-05-13,Daniel Gafford,9.5,-115.0,-105.0
2024-05-13,Dereck Lively II,6.5,-122.0,102.0
2024-05-13,Derrick Jones Jr.,8.5,-135.0,114.0
2024-05-13,Isaiah Joe,6.5,-120.0,100.0
2024-05-13,Jalen Williams,19.5,-112.0,-108.0
2024-05-13,Josh Giddey,6.5,-110.0,-110.0
2024-05-13,Kyrie Irving,22.5,-118.0,-102.0
2024-05-13,Luguentz Dort,9.5,-102.0,-118.0
2024-05-13,Luka Doncic,28.5,-130.0,110.0
2024-05-13,P.J. Washington,15.5,110.0,-130.0
2024-05-13,Shai Gilgeous-Alexander,30.5,-112.0,-108.0
2024-05-13,Tim Hardaway Jr.,8.5,105.0,-125.0
2024-05-14,Aaron Nesmith,9.5,-130.0,100.0
2024-05-14,Alec Burks,9.5,-105.0,-125.0
2024-05-14,Andrew Nembhard,8.5,-110.0,-120.0
2024-05-14,Donte DiVincenzo,21.5,-125.0,-105.0
2024-05-14,Isaiah Hartenstein,9.5,-120.0,-110.0
2024-05-14,Jalen Brunson,33.5,-110.0,-120.0
2024-05-14,Josh Hart,14.5,-125.0,-105.0
2024-05-14,Miles McBride,9.5,-110.0,-120.0
2024-05-14,Myles Turner,15.5,-125.0,-105.0
2024-05-14,Obi Toppin,8.5,-120.0,-110.0
2024-05-14,Pascal Siakam,19.5,-125.0,-105.0
2024-05-14,Precious Achiuwa,6.5,-130.0,100.0
2024-05-14,T.J. McConnell,10.5,-105.0,-125.0
2024-05-14,Tyrese Haliburton,20.5,-110.0,-120.0
2024-05-14,Aaron Gordon,13.5,-112.0,-108.0
2024-05-14,Anthony Edwards,29.5,-125.0,105.0
2024-05-14,Jaden McDaniels,8.5,-125.0,105.0
2024-05-14,Jamal Murray,21.5,-110.0,-110.0
2024-05-14,Karl-Anthony Towns,18.5,-142.0,120.0
2024-05-14,Kentavious Caldwell-Pope,7.5,-115.0,-105.0
2024-05-14,Michael Porter Jr.,15.5,-118.0,-102.0
2024-05-14,Mike Conley,11.5,102.0,-122.0
2024-05-14,Naz Reid,10.5,105.0,-125.0
2024-05-14,Nikola Jokic,29.5,-105.0,-115.0
2024-05-14,Rudy Gobert,10.5,-115.0,-105.0
2024-05-15,Al Horford,8.5,-110.0,-110.0
2024-05-15,Darius Garland,21.5,-108.0,-112.0
2024-05-15,Derrick White,13.5,-102.0,-118.0
2024-05-15,Evan Mobley,16.5,-108.0,-112.0
2024-05-15,Jaylen Brown,24.5,-108.0,-112.0
2024-05-15,Jayson Tatum,29.5,102.0,-122.0
2024-05-15,Jrue Holiday,13.5,-110.0,-110.0
2024-05-15,Max Strus,12.5,-112.0,-108.0
2024-05-15,Payton Pritchard,8.5,100.0,-120.0
2024-05-15,Aaron Wiggins,7.5,114.0,-135.0
2024-05-15,Chet Holmgren,14.5,-122.0,102.0
2024-05-15,Daniel Gafford,9.5,110.0,-130.0
2024-05-15,Dereck Lively II,6.5,-120.0,100.0
2024-05-15,Derrick Jones Jr.,8.5,-120.0,100.0
2024-05-15,Jalen Williams,19.5,-115.0,-105.0
2024-05-15,Kyrie Irving,21.5,-102.0,-118.0
2024-05-15,Luguentz Dort,10.5,-118.0,-102.0
2024-05-15,Luka Doncic,27.5,-125.0,105.0
2024-05-15,P.J. Washington,15.5,-110.0,-110.0
2024-05-15,Shai Gilgeous-Alexander,31.5,-125.0,105.0
2024-05-15,Tim Hardaway Jr.,6.5,-112.0,-108.0
2024-05-16,Aaron Gordon,14.5,100.0,-120.0
2024-05-16,Anthony Edwards,29.5,-108.0,-112.0
2024-05-16,Christian Braun,6.5,-115.0,-105.0
2024-05-16,Jaden McDaniels,9.5,-108.0,-112.0
2024-05-16,Jamal Murray,19.5,-110.0,-110.0
2024-05-16,Karl-Anthony Towns,20.5,-105.0,-115.0
2024-05-16,Kentavious Caldwell-Pope,7.5,-135.0,114.0
2024-05-16,Michael Porter Jr.,13.5,-130.0,110.0
2024-05-16,Mike Conley,10.5,-125.0,105.0
2024-05-16,Naz Reid,9.5,-125.0,105.0
2024-05-16,Nikola Jokic,29.5,-112.0,-108.0
2024-05-16,Rudy Gobert,11.5,-108.0,-112.0
2024-05-17,Aaron Nesmith,9.5,-125.0,-105.0
2024-05-17,Alec Burks,10.5,-125.0,-105.0
2024-05-17,Andrew Nembhard,9.5,-115.0,-115.0
2024-05-17,Donte DiVincenzo,17.5,-110.0,-120.0
2024-05-17,Isaiah Hartenstein,8.5,-115.0,-115.0
2024-05-17,Jalen Brunson,34.5,-110.0,-120.0
2024-05-17,Josh Hart,15.5,-105.0,-125.0
2024-05-17,Miles McBride,12.5,-125.0,-105.0
2024-05-17,Myles Turner,17.5,-105.0,-125.0
2024-05-17,Obi Toppin,9.5,100.0,-130.0
2024-05-17,Pascal Siakam,21.5,-120.0,-110.0
2024-05-17,Precious Achiuwa,4.5,-125.0,-105.0
